 connect:0.009568s pretransfer:0.009723s starttransfer:0.014244s total:0.014389
 connect:0.005275s pretransfer:0.005392s starttransfer:0.009241s total:0.009350
 connect:0.006959s pretransfer:0.007052s starttransfer:0.011716s total:0.011817
 connect:0.028686s pretransfer:0.028811s starttransfer:0.033719s total:0.033826
 connect:0.019860s pretransfer:0.019978s starttransfer:0.025197s total:0.025297
 connect:0.023514s pretransfer:0.023619s starttransfer:0.027464s total:0.027585
 connect:0.026523s pretransfer:0.026646s starttransfer:0.034310s total:0.034428
 connect:0.021052s pretransfer:0.021137s starttransfer:0.028037s total:0.028155
 connect:0.021208s pretransfer:0.021316s starttransfer:0.025090s total:0.025211
 connect:0.026900s pretransfer:0.027021s starttransfer:0.031683s total:0.031789
 connect:0.020620s pretransfer:0.020710s starttransfer:0.027528s total:0.027630
 connect:0.016882s pretransfer:0.016990s starttransfer:0.021096s total:0.021201
 connect:0.043006s pretransfer:0.043073s starttransfer:0.046603s total:0.046728
 connect:0.022337s pretransfer:0.022460s starttransfer:0.025652s total:0.025802
 connect:0.018274s pretransfer:0.018397s starttransfer:0.023272s total:0.023395
 connect:0.018696s pretransfer:0.018835s starttransfer:0.022517s total:0.022663
 connect:0.035502s pretransfer:0.035632s starttransfer:0.039544s total:0.039666
 connect:0.023216s pretransfer:0.023381s starttransfer:0.026683s total:0.026782
 connect:0.025780s pretransfer:0.025867s starttransfer:0.030614s total:0.030718
 connect:0.019119s pretransfer:0.019208s starttransfer:0.024340s total:0.024442
 connect:0.023478s pretransfer:0.023565s starttransfer:0.027061s total:0.027164
 connect:0.020121s pretransfer:0.020205s starttransfer:0.023239s total:0.023336
 connect:0.025935s pretransfer:0.026019s starttransfer:0.028978s total:0.029076
 connect:0.027395s pretransfer:0.027509s starttransfer:0.030812s total:0.030914
 connect:0.024470s pretransfer:0.024559s starttransfer:0.027892s total:0.027998
 connect:0.024870s pretransfer:0.024958s starttransfer:0.028413s total:0.028509
 connect:0.020406s pretransfer:0.020481s starttransfer:0.023929s total:0.024027
 connect:0.022377s pretransfer:0.022464s starttransfer:0.025832s total:0.025934
 connect:0.020607s pretransfer:0.020720s starttransfer:0.024330s total:0.024451
 connect:0.021774s pretransfer:0.021860s starttransfer:0.025423s total:0.025533
 connect:0.016963s pretransfer:0.017038s starttransfer:0.020495s total:0.020619
 connect:0.037044s pretransfer:0.037169s starttransfer:0.040821s total:0.040946
 connect:0.032976s pretransfer:0.033086s starttransfer:0.036655s total:0.036782
 connect:0.120879s pretransfer:0.120966s starttransfer:0.125230s total:0.125351
 connect:0.028169s pretransfer:0.028270s starttransfer:0.032533s total:0.032661
 connect:0.022630s pretransfer:0.022735s starttransfer:0.026279s total:0.026400
 connect:0.023751s pretransfer:0.023856s starttransfer:0.029700s total:0.029807
 connect:0.006931s pretransfer:0.007045s starttransfer:0.011107s total:0.011260
 connect:0.028211s pretransfer:0.028324s starttransfer:0.033842s total:0.033947
 connect:0.027238s pretransfer:0.027330s starttransfer:0.030767s total:0.030870
 connect:0.034219s pretransfer:0.034343s starttransfer:0.042104s total:0.042234
 connect:0.028282s pretransfer:0.028427s starttransfer:0.034385s total:0.034497
 connect:0.029971s pretransfer:0.030097s starttransfer:0.036040s total:0.036204
 connect:0.057565s pretransfer:0.057897s starttransfer:0.064795s total:0.065024
 connect:0.031182s pretransfer:0.031306s starttransfer:0.038044s total:0.038249
 connect:0.026943s pretransfer:0.027068s starttransfer:0.032051s total:0.032187
 connect:0.022818s pretransfer:0.022909s starttransfer:0.026937s total:0.027047
 connect:0.031468s pretransfer:0.031563s starttransfer:0.034593s total:0.034708
 connect:0.019977s pretransfer:0.020137s starttransfer:0.029953s total:0.030095
 connect:0.029114s pretransfer:0.029237s starttransfer:0.033856s total:0.034003
 connect:0.035863s pretransfer:0.036031s starttransfer:0.043343s total:0.043480
 connect:0.025535s pretransfer:0.025794s starttransfer:0.030626s total:0.030739
 connect:0.023975s pretransfer:0.024085s starttransfer:0.028387s total:0.028557
 connect:0.028882s pretransfer:0.028968s starttransfer:0.032560s total:0.032688
 connect:0.024120s pretransfer:0.024219s starttransfer:0.030024s total:0.030135
 connect:0.021677s pretransfer:0.021847s starttransfer:0.031151s total:0.031364
 connect:0.026151s pretransfer:0.026299s starttransfer:0.029830s total:0.029951
 connect:0.023176s pretransfer:0.023267s starttransfer:0.027095s total:0.027199
 connect:0.026475s pretransfer:0.026655s starttransfer:0.031651s total:0.031755
 connect:0.022185s pretransfer:0.022297s starttransfer:0.026365s total:0.026502
 connect:0.018682s pretransfer:0.018792s starttransfer:0.022177s total:0.022316
 connect:0.021403s pretransfer:0.021505s starttransfer:0.025754s total:0.025873
 connect:0.024780s pretransfer:0.024966s starttransfer:0.031537s total:0.031661
 connect:0.030910s pretransfer:0.031043s starttransfer:0.035117s total:0.035222
 connect:0.019667s pretransfer:0.019775s starttransfer:0.023046s total:0.023163
 connect:0.019214s pretransfer:0.019308s starttransfer:0.023222s total:0.023331
 connect:0.019815s pretransfer:0.019915s starttransfer:0.027632s total:0.027776
 connect:0.024748s pretransfer:0.024841s starttransfer:0.030882s total:0.030996
 connect:0.038078s pretransfer:0.038176s starttransfer:0.043471s total:0.043577
 connect:0.040067s pretransfer:0.040189s starttransfer:0.045100s total:0.045241
 connect:0.026055s pretransfer:0.026178s starttransfer:0.031118s total:0.031272
 connect:0.025141s pretransfer:0.025277s starttransfer:0.029476s total:0.029604
 connect:0.024541s pretransfer:0.024672s starttransfer:0.029383s total:0.029506
 connect:0.022311s pretransfer:0.022483s starttransfer:0.027997s total:0.028109
 connect:0.041960s pretransfer:0.042103s starttransfer:0.046467s total:0.046602
 connect:0.057731s pretransfer:0.057857s starttransfer:0.066486s total:0.066661
 connect:0.027263s pretransfer:0.027403s starttransfer:0.031359s total:0.031493
 connect:0.023482s pretransfer:0.023631s starttransfer:0.028327s total:0.028458
 connect:0.034303s pretransfer:0.034423s starttransfer:0.042441s total:0.042552
 connect:0.021344s pretransfer:0.021494s starttransfer:0.026414s total:0.026529
 connect:0.018232s pretransfer:0.018398s starttransfer:0.023228s total:0.023345
 connect:0.073859s pretransfer:0.073979s starttransfer:0.077567s total:0.077702
 connect:0.032796s pretransfer:0.032911s starttransfer:0.038364s total:0.038507
 connect:0.024331s pretransfer:0.024432s starttransfer:0.028553s total:0.028670
 connect:0.022977s pretransfer:0.023087s starttransfer:0.028466s total:0.028584
 connect:0.028400s pretransfer:0.028525s starttransfer:0.032949s total:0.033079
 connect:0.022574s pretransfer:0.022680s starttransfer:0.029033s total:0.029175
 connect:0.038281s pretransfer:0.038380s starttransfer:0.042782s total:0.042902
 connect:0.029891s pretransfer:0.030030s starttransfer:0.036210s total:0.036329
 connect:0.035344s pretransfer:0.035441s starttransfer:0.038567s total:0.038677
 connect:0.015743s pretransfer:0.015843s starttransfer:0.020151s total:0.020302
 connect:0.028937s pretransfer:0.029048s starttransfer:0.035634s total:0.035754
 connect:0.024186s pretransfer:0.024285s starttransfer:0.031168s total:0.031312
 connect:0.018855s pretransfer:0.019007s starttransfer:0.022967s total:0.023120
 connect:0.024325s pretransfer:0.024436s starttransfer:0.027976s total:0.028099
 connect:0.007950s pretransfer:0.008030s starttransfer:0.011689s total:0.011804
 connect:0.020786s pretransfer:0.020891s starttransfer:0.024826s total:0.024937
 connect:0.026075s pretransfer:0.026176s starttransfer:0.029923s total:0.030051
 connect:0.033333s pretransfer:0.033426s starttransfer:0.037427s total:0.037548
 connect:0.142881s pretransfer:0.142964s starttransfer:0.146127s total:0.146258
 connect:0.026020s pretransfer:0.026126s starttransfer:0.033102s total:0.033243
