 connect:0.129181s pretransfer:0.129270s starttransfer:0.194627s total:0.194673
 connect:0.036059s pretransfer:0.036143s starttransfer:0.106694s total:0.106741
 connect:0.035806s pretransfer:0.035923s starttransfer:0.043081s total:0.043146
 connect:0.021310s pretransfer:0.021388s starttransfer:0.028468s total:0.028527
 connect:0.036812s pretransfer:0.036928s starttransfer:0.043049s total:0.043102
 connect:0.025664s pretransfer:0.025776s starttransfer:0.033937s total:0.033996
 connect:0.030269s pretransfer:0.030380s starttransfer:0.037463s total:0.037514
 connect:0.019639s pretransfer:0.019731s starttransfer:0.027549s total:0.027600
 connect:0.026373s pretransfer:0.026487s starttransfer:0.033358s total:0.033405
 connect:0.026151s pretransfer:0.026288s starttransfer:0.035628s total:0.035678
 connect:0.026056s pretransfer:0.026145s starttransfer:0.031944s total:0.031990
 connect:0.023757s pretransfer:0.023850s starttransfer:0.029901s total:0.029948
 connect:0.024481s pretransfer:0.024581s starttransfer:0.030534s total:0.030582
 connect:0.024582s pretransfer:0.024699s starttransfer:0.033721s total:0.033802
 connect:0.034340s pretransfer:0.034433s starttransfer:0.040694s total:0.040759
 connect:0.024863s pretransfer:0.024958s starttransfer:0.031309s total:0.031357
 connect:0.035295s pretransfer:0.035416s starttransfer:0.041953s total:0.042000
 connect:0.023248s pretransfer:0.023368s starttransfer:0.029688s total:0.029734
 connect:0.027682s pretransfer:0.027779s starttransfer:0.034729s total:0.034776
 connect:0.024407s pretransfer:0.024514s starttransfer:0.030875s total:0.030922
 connect:0.026476s pretransfer:0.026564s starttransfer:0.032499s total:0.032550
 connect:0.022591s pretransfer:0.022696s starttransfer:0.029223s total:0.029282
 connect:0.024434s pretransfer:0.024525s starttransfer:0.031455s total:0.031501
 connect:0.023615s pretransfer:0.023708s starttransfer:0.029705s total:0.029752
 connect:0.045963s pretransfer:0.046051s starttransfer:0.052064s total:0.052118
 connect:0.024765s pretransfer:0.024898s starttransfer:0.031410s total:0.031455
 connect:0.024194s pretransfer:0.024337s starttransfer:0.030159s total:0.030207
 connect:0.022133s pretransfer:0.022252s starttransfer:0.028567s total:0.028617
 connect:0.030451s pretransfer:0.030563s starttransfer:0.036546s total:0.036594
 connect:0.023778s pretransfer:0.023888s starttransfer:0.030642s total:0.030697
 connect:0.025877s pretransfer:0.025970s starttransfer:0.032286s total:0.032331
 connect:0.021393s pretransfer:0.021500s starttransfer:0.026930s total:0.026978
 connect:0.026345s pretransfer:0.026431s starttransfer:0.032545s total:0.032593
 connect:0.027658s pretransfer:0.027775s starttransfer:0.038167s total:0.038216
 connect:0.020911s pretransfer:0.021017s starttransfer:0.029539s total:0.029585
 connect:0.034610s pretransfer:0.034699s starttransfer:0.041653s total:0.041698
 connect:0.025046s pretransfer:0.025165s starttransfer:0.114479s total:0.114543
 connect:0.042472s pretransfer:0.042580s starttransfer:0.048770s total:0.048821
 connect:0.025437s pretransfer:0.025576s starttransfer:0.031878s total:0.031926
 connect:0.027822s pretransfer:0.027977s starttransfer:0.037972s total:0.038032
 connect:0.023527s pretransfer:0.023649s starttransfer:0.035513s total:0.035593
 connect:0.022954s pretransfer:0.023060s starttransfer:0.029683s total:0.029787
 connect:0.043787s pretransfer:0.043922s starttransfer:0.049300s total:0.049364
 connect:0.053879s pretransfer:0.054035s starttransfer:0.062206s total:0.062265
 connect:0.029751s pretransfer:0.029960s starttransfer:0.036554s total:0.036603
 connect:0.046989s pretransfer:0.047081s starttransfer:0.056200s total:0.056253
 connect:0.033888s pretransfer:0.033981s starttransfer:0.040737s total:0.040784
 connect:0.025967s pretransfer:0.026108s starttransfer:0.034566s total:0.034614
 connect:0.027197s pretransfer:0.027381s starttransfer:0.035970s total:0.036060
 connect:0.035986s pretransfer:0.036177s starttransfer:0.046799s total:0.046903
 connect:0.025607s pretransfer:0.025715s starttransfer:0.032444s total:0.032505
 connect:0.033783s pretransfer:0.033894s starttransfer:0.044714s total:0.044780
 connect:0.029831s pretransfer:0.029953s starttransfer:0.038060s total:0.038137
 connect:0.079031s pretransfer:0.079127s starttransfer:0.085527s total:0.085585
 connect:0.020382s pretransfer:0.020484s starttransfer:0.028416s total:0.028463
 connect:0.041720s pretransfer:0.041934s starttransfer:0.051935s total:0.051981
 connect:0.021592s pretransfer:0.021826s starttransfer:0.031867s total:0.031922
 connect:0.027918s pretransfer:0.028075s starttransfer:0.036881s total:0.036945
 connect:0.028141s pretransfer:0.028265s starttransfer:0.035868s total:0.035923
 connect:0.039215s pretransfer:0.039329s starttransfer:0.046866s total:0.046914
 connect:0.040879s pretransfer:0.040996s starttransfer:0.049010s total:0.049058
 connect:0.020608s pretransfer:0.020744s starttransfer:0.028375s total:0.028476
 connect:0.030486s pretransfer:0.030594s starttransfer:0.041783s total:0.041839
 connect:0.022837s pretransfer:0.022953s starttransfer:0.029793s total:0.029841
 connect:0.034650s pretransfer:0.034740s starttransfer:0.041037s total:0.041097
 connect:0.022768s pretransfer:0.022892s starttransfer:0.033381s total:0.033436
 connect:0.142490s pretransfer:0.142624s starttransfer:0.152908s total:0.152971
 connect:0.022606s pretransfer:0.022710s starttransfer:0.032195s total:0.032254
 connect:0.034010s pretransfer:0.034122s starttransfer:0.042665s total:0.042719
 connect:0.041740s pretransfer:0.041909s starttransfer:0.056948s total:0.057023
 connect:0.042838s pretransfer:0.042990s starttransfer:0.054684s total:0.054751
 connect:0.032401s pretransfer:0.032530s starttransfer:0.038691s total:0.038755
 connect:0.025850s pretransfer:0.025972s starttransfer:0.034634s total:0.034700
 connect:0.030718s pretransfer:0.030821s starttransfer:0.041370s total:0.041434
 connect:0.035748s pretransfer:0.035869s starttransfer:0.043406s total:0.043461
 connect:0.045014s pretransfer:0.045144s starttransfer:0.055201s total:0.055276
 connect:0.028417s pretransfer:0.028673s starttransfer:0.037286s total:0.037335
 connect:0.028747s pretransfer:0.028868s starttransfer:0.038833s total:0.038902
 connect:0.030622s pretransfer:0.030734s starttransfer:0.037572s total:0.037629
 connect:0.029172s pretransfer:0.029282s starttransfer:0.037478s total:0.037525
 connect:0.030219s pretransfer:0.030440s starttransfer:0.039330s total:0.039381
 connect:0.046875s pretransfer:0.047019s starttransfer:0.055440s total:0.055490
 connect:0.028265s pretransfer:0.028510s starttransfer:0.036416s total:0.036475
 connect:0.022407s pretransfer:0.022532s starttransfer:0.030820s total:0.030889
 connect:0.022887s pretransfer:0.023049s starttransfer:0.030856s total:0.030967
 connect:0.043001s pretransfer:0.043319s starttransfer:0.051179s total:0.051238
 connect:0.034800s pretransfer:0.035008s starttransfer:0.042436s total:0.042485
 connect:0.043861s pretransfer:0.043980s starttransfer:0.057209s total:0.057272
 connect:0.035903s pretransfer:0.036004s starttransfer:0.042847s total:0.042896
 connect:0.026326s pretransfer:0.026438s starttransfer:0.036036s total:0.036085
 connect:0.023362s pretransfer:0.023479s starttransfer:0.032803s total:0.032901
 connect:0.022064s pretransfer:0.022201s starttransfer:0.028276s total:0.028328
 connect:0.027979s pretransfer:0.028093s starttransfer:0.036567s total:0.036614
 connect:0.028538s pretransfer:0.028833s starttransfer:0.036892s total:0.036938
 connect:0.032891s pretransfer:0.032998s starttransfer:0.120692s total:0.120751
 connect:0.027648s pretransfer:0.027758s starttransfer:0.035955s total:0.036002
 connect:0.028539s pretransfer:0.028630s starttransfer:0.034576s total:0.034623
 connect:0.024644s pretransfer:0.024741s starttransfer:0.031943s total:0.032060
 connect:0.039337s pretransfer:0.039447s starttransfer:0.045992s total:0.046041
 connect:0.030857s pretransfer:0.030960s starttransfer:0.039339s total:0.039398
 connect:0.053896s pretransfer:0.054141s starttransfer:0.065849s total:0.065933
 connect:0.038501s pretransfer:0.038626s starttransfer:0.050536s total:0.050592
 connect:0.070689s pretransfer:0.070837s starttransfer:0.082746s total:0.082809
 connect:0.046136s pretransfer:0.046265s starttransfer:0.058476s total:0.058547
 connect:0.034941s pretransfer:0.035122s starttransfer:0.043036s total:0.043096
 connect:0.039200s pretransfer:0.039323s starttransfer:0.053125s total:0.053188
 connect:0.025152s pretransfer:0.025420s starttransfer:0.037270s total:0.037371
 connect:0.044010s pretransfer:0.044171s starttransfer:0.054446s total:0.054509
 connect:0.039411s pretransfer:0.039565s starttransfer:0.049434s total:0.049486
 connect:0.029832s pretransfer:0.029960s starttransfer:0.039304s total:0.039352
 connect:0.024634s pretransfer:0.024854s starttransfer:0.034478s total:0.034526
 connect:0.035827s pretransfer:0.035973s starttransfer:0.050126s total:0.050180
 connect:0.036051s pretransfer:0.036243s starttransfer:0.044154s total:0.044225
 connect:0.027707s pretransfer:0.027803s starttransfer:0.040115s total:0.040168
 connect:0.038905s pretransfer:0.039047s starttransfer:0.046855s total:0.046922
 connect:0.035907s pretransfer:0.035996s starttransfer:0.045271s total:0.045324
 connect:0.033678s pretransfer:0.033820s starttransfer:0.045056s total:0.045110
 connect:0.030201s pretransfer:0.030322s starttransfer:0.040579s total:0.040649
 connect:0.033338s pretransfer:0.033464s starttransfer:0.039861s total:0.039931
 connect:0.030902s pretransfer:0.031037s starttransfer:0.041470s total:0.041529
 connect:0.031107s pretransfer:0.031253s starttransfer:0.039379s total:0.039438
 connect:0.029747s pretransfer:0.029860s starttransfer:0.039604s total:0.039655
 connect:0.029406s pretransfer:0.029582s starttransfer:0.035964s total:0.036012
 connect:0.026975s pretransfer:0.027088s starttransfer:0.034140s total:0.034193
 connect:0.050448s pretransfer:0.050565s starttransfer:0.059689s total:0.059749
 connect:0.022394s pretransfer:0.022506s starttransfer:0.028704s total:0.028751
 connect:0.026410s pretransfer:0.026524s starttransfer:0.033161s total:0.033214
 connect:0.027132s pretransfer:0.027249s starttransfer:0.035666s total:0.035722
 connect:0.021115s pretransfer:0.021228s starttransfer:0.029482s total:0.029531
 connect:0.023085s pretransfer:0.023217s starttransfer:0.032351s total:0.032397
 connect:0.018632s pretransfer:0.018736s starttransfer:0.025280s total:0.025331
 connect:0.040672s pretransfer:0.040772s starttransfer:0.049447s total:0.049496
 connect:0.028701s pretransfer:0.028794s starttransfer:0.036878s total:0.036924
 connect:0.031621s pretransfer:0.031751s starttransfer:0.038039s total:0.038088
 connect:0.021110s pretransfer:0.021219s starttransfer:0.028477s total:0.028524
 connect:0.045941s pretransfer:0.046071s starttransfer:0.052570s total:0.052616
 connect:0.025669s pretransfer:0.025775s starttransfer:0.032069s total:0.032126
 connect:0.029916s pretransfer:0.030021s starttransfer:0.039732s total:0.039795
 connect:0.033918s pretransfer:0.034083s starttransfer:0.042825s total:0.042887
 connect:0.035438s pretransfer:0.035535s starttransfer:0.047173s total:0.047229
 connect:0.022992s pretransfer:0.023166s starttransfer:0.032000s total:0.032083
 connect:0.040149s pretransfer:0.040285s starttransfer:0.050135s total:0.050213
 connect:0.024017s pretransfer:0.024150s starttransfer:0.032024s total:0.032091
 connect:0.034716s pretransfer:0.034847s starttransfer:0.045444s total:0.045502
